;Scopy version,48fb6a9
;Exported on,Wednesday July 24/07/2019
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V),M1(V)
353,-0.003647,0.744492,0.740771,0.00390625
354,-0.003646,0.741239,0.735858,0.00488281
355,-0.003645,0.737986,0.732583,0.00488281
356,-0.003644,0.734734,0.732583,0.00292969
357,-0.003643,0.733107,0.72767,0.00488281
358,-0.003642,0.728229,0.72112,0.0078125
359,-0.003641,0.72335,0.717845,0.00488281
360,-0.00364,0.720097,0.714569,0.00488281
361,-0.003639,0.716844,0.711294,0.00488281
362,-0.003638,0.713592,0.708019,0.00488281
363,-0.003637,0.710339,0.704744,0.00488281
364,-0.003636,0.70546,0.701469,0.00390625
365,-0.003635,0.702208,0.696556,0.00488281
366,-0.003634,0.698955,0.693281,0.00488281
367,-0.003633,0.69245,0.688368,0.00390625
368,-0.003632,0.689197,0.685093,0.00390625
369,-0.003631,0.685945,0.681818,0.00390625
370,-0.00363,0.682692,0.676905,0.00488281
371,-0.003629,0.679439,0.67363,0.00488281
372,-0.003628,0.672934,0.668717,0.00390625
373,-0.003627,0.671308,0.665442,0.00683594
374,-0.003626,0.664803,0.660529,0.00390625
375,-0.003625,0.66155,0.657254,0.00390625
376,-0.003624,0.656671,0.652341,0.00390625
377,-0.003623,0.655045,0.649066,0.00683594
378,-0.003622,0.650166,0.645791,0.00390625
379,-0.003621,0.645287,0.640878,0.00390625
380,-0.00362,0.640408,0.635966,0.00390625
381,-0.003619,0.635529,0.631053,0.00390625
382,-0.003618,0.632277,0.62614,0.00683594
383,-0.003617,0.629024,0.624503,0.00390625
384,-0.003616,0.624145,0.617952,0.00683594
385,-0.003615,0.619266,0.614677,0.00390625
386,-0.003614,0.616014,0.611402,0.00390625
387,-0.003613,0.609509,0.603214,0.00683594
388,-0.003612,0.603003,0.599939,0.00390625
389,-0.003611,0.599751,0.595026,0.00390625
390,-0.00361,0.596498,0.591751,0.00390625
391,-0.003609,0.593246,0.588476,0.00390625
392,-0.003608,0.588367,0.583563,0.00390625
393,-0.003607,0.583488,0.57865,0.00390625
394,-0.003606,0.578609,0.573738,0.00390625
395,-0.003605,0.572104,0.567187,0.00488281
396,-0.003604,0.568851,0.563912,0.00488281
397,-0.003603,0.563972,0.560637,0.00390625
398,-0.003602,0.560719,0.555724,0.00488281
399,-0.003601,0.554214,0.552449,0.000976563
400,-0.0036,0.549335,0.545899,0.00390625
401,-0.003599,0.544456,0.539348,0.00488281
402,-0.003598,0.541204,0.536073,0.00488281
403,-0.003597,0.536325,0.532798,0.00390625
404,-0.003596,0.531446,0.526248,0.00488281
405,-0.003595,0.526567,0.522973,0.00390625
406,-0.003594,0.521688,0.51806,0.00390625
407,-0.003593,0.515183,0.513147,0.00292969
408,-0.003592,0.51193,0.504959,0.0078125
409,-0.003591,0.505425,0.503322,0.00292969
410,-0.00359,0.502173,0.496771,0.00488281
411,-0.003589,0.49892,0.493496,0.00488281
412,-0.003588,0.494041,0.490221,0.00390625
413,-0.003587,0.487536,0.480396,0.0078125
414,-0.003586,0.479404,0.477121,0.00292969
415,-0.003585,0.476152,0.472208,0.00390625
416,-0.003584,0.471273,0.468933,0.00292969
417,-0.003583,0.46802,0.462382,0.00488281
418,-0.003582,0.463141,0.460745,0.00292969
419,-0.003581,0.458262,0.454194,0.00390625
420,-0.00358,0.451757,0.447644,0.00390625
421,-0.003579,0.445252,0.441094,0.00390625
422,-0.003578,0.438747,0.434543,0.00390625
423,-0.003577,0.435494,0.431268,0.00390625
424,-0.003576,0.430615,0.426356,0.00390625
425,-0.003575,0.425736,0.42308,0.00292969
426,-0.003574,0.422484,0.418168,0.00390625
427,-0.003573,0.415979,0.411617,0.00390625
428,-0.003572,0.409473,0.405067,0.00390625
429,-0.003571,0.401342,0.398517,0.00292969
430,-0.00357,0.398089,0.391966,0.00683594
431,-0.003569,0.394837,0.388691,0.00683594
432,-0.003568,0.391584,0.387054,0.00390625
433,-0.003567,0.385079,0.378866,0.00683594
434,-0.003566,0.378574,0.375591,0.00390625
435,-0.003565,0.372068,0.367403,0.00390625
436,-0.003564,0.363937,0.360852,0.00390625
437,-0.003563,0.359058,0.354302,0.00390625
438,-0.003562,0.355805,0.351027,0.00390625
439,-0.003561,0.352553,0.347752,0.00390625
440,-0.00356,0.346048,0.339564,0.00683594
441,-0.003559,0.339542,0.336289,0.00390625
442,-0.003558,0.333037,0.329738,0.00390625
443,-0.003557,0.326532,0.324826,0.000976563
444,-0.003556,0.323279,0.318275,0.00488281
445,-0.003555,0.3184,0.313363,0.00488281
446,-0.003554,0.315148,0.310088,0.00488281
447,-0.003553,0.307016,0.303537,0.00390625
448,-0.003552,0.300511,0.296987,0.00390625
449,-0.003551,0.294006,0.290437,0.00390625
450,-0.00355,0.290753,0.285524,0.00488281
451,-0.003549,0.284248,0.278974,0.00488281
452,-0.003548,0.279369,0.274061,0.00488281
453,-0.003547,0.272864,0.270786,0.00292969
454,-0.003546,0.267985,0.264235,0.00390625
455,-0.003545,0.26148,0.256047,0.00488281
456,-0.003544,0.256601,0.252772,0.00390625
457,-0.003543,0.250096,0.246222,0.00390625
458,-0.003542,0.245217,0.241309,0.00390625
459,-0.003541,0.238712,0.234759,0.00390625
460,-0.00354,0.233833,0.231484,0.00292969
461,-0.003539,0.228954,0.223296,0.00488281
462,-0.003538,0.222449,0.216746,0.00488281
463,-0.003537,0.215943,0.211833,0.00390625
464,-0.003536,0.209438,0.205283,0.00390625
465,-0.003535,0.202933,0.20037,0.00292969
466,-0.003534,0.19968,0.195457,0.00390625
467,-0.003533,0.194802,0.190544,0.00390625
468,-0.003532,0.188296,0.183994,0.00390625
469,-0.003531,0.181791,0.177444,0.00390625
