;Scopy version,6fa2c03
;Exported on,Wednesday September 25/09/2019
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+07
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
367,-0.0001233,1.52933,1.65174
368,-0.0001232,1.52933,1.65644
369,-0.0001231,1.52933,1.66271
370,-0.000123,1.52933,1.67054
371,-0.0001229,1.53089,1.67367
372,-0.0001228,1.52933,1.67837
373,-0.0001227,1.53089,1.68463
374,-0.0001226,1.52778,1.65957
375,-0.0001225,1.53089,1.58126
376,-0.0001224,1.53089,1.5562
377,-0.0001223,1.52933,1.5468
378,-0.0001222,1.53244,1.55776
379,-0.0001221,1.53089,1.57186
380,-0.000122,1.52933,1.58752
381,-0.0001219,1.52933,1.60162
382,-0.0001218,1.52933,1.61258
383,-0.0001217,1.52933,1.62198
384,-0.0001216,1.52933,1.62825
385,-0.0001215,1.53089,1.62825
386,-0.0001214,1.52778,1.62355
387,-0.0001213,1.52778,1.61885
388,-0.0001212,1.52933,1.61572
389,-0.0001211,1.52933,1.61102
390,-0.000121,1.52933,1.61258
391,-0.0001209,1.52778,1.61102
392,-0.0001208,1.53244,1.61258
393,-0.0001207,1.52933,1.61572
394,-0.0001206,1.52933,1.61885
395,-0.0001205,1.53089,1.61572
396,-0.0001204,1.52778,1.61728
397,-0.0001203,1.52933,1.61728
398,-0.0001202,1.52778,1.61572
399,-0.0001201,1.52933,1.61572
400,-0.00012,1.53244,1.61728
401,-0.0001199,1.53089,1.61728
402,-0.0001198,1.53089,1.61728
403,-0.0001197,1.52778,1.61728
404,-0.0001196,1.52933,1.61572
405,-0.0001195,1.53089,1.61572
406,-0.0001194,1.52778,1.61572
407,-0.0001193,1.52778,1.61728
408,-0.0001192,1.52933,1.61728
409,-0.0001191,1.53089,1.61572
410,-0.000119,1.53244,1.61572
411,-0.0001189,1.52933,1.61572
412,-0.0001188,1.53244,1.61572
413,-0.0001187,1.53089,1.61728
414,-0.0001186,1.52933,1.61728
415,-0.0001185,1.52933,1.61728
416,-0.0001184,1.53244,1.61728
417,-0.0001183,1.53089,1.61415
418,-0.0001182,1.53089,1.61728
419,-0.0001181,1.53089,1.61728
420,-0.000118,1.52933,1.61728
421,-0.0001179,1.53244,1.61728
422,-0.0001178,1.53244,1.61728
423,-0.0001177,1.53244,1.61885
424,-0.0001176,1.53399,1.61885
425,-0.0001175,1.53089,1.61885
426,-0.0001174,1.53399,1.61885
427,-0.0001173,1.53244,1.61885
428,-0.0001172,1.52933,1.61885
